name,type,location,address,open_time
北京朝阳合生汇,商场,"116.480110,39.894007",西大望路甲22号,
西单大悦城,商场,"116.372960,39.910884",西单北大街131号,
北京荟聚,商场,"116.326497,39.788104",欣宁街15号,
华熙LIVE·五棵松,商场,"116.279619,39.910215",复兴路69号华熙live,
SOLANA蓝色港湾,商场,"116.475944,39.949336",朝阳公园路6号,
三里屯太古里,商场,"116.454406,39.934862",三里屯路11、19号院(工人体育场地铁站D口步行240米),
北京超极合生汇,商场,"116.291067,40.097069",回龙观北清路1号珠江摩尔大厦旁,
万达广场(通州店),商场,"116.640441,39.905320",新华西街58号万达金街A区2层220,
THE BOX一盒朝外年轻力中心,商场,"116.445007,39.922779",朝外大街12号,
凯德MALL(西直门店),商场,"116.352869,39.941597",西直门外大街1号,
北投新奥购物中心,商场,"116.394147,40.000076",湖景东路9号,
北京apm,商场,"116.411923,39.914339",王府井大街138号(地铁金鱼胡同),
首创奥特莱斯,商场,"116.186584,39.763613",长阳镇悦盛路6号院,
北京SKP,商场,"116.478893,39.910106",建国路87号北京SKP意大利德龙专柜,
王府井喜悦,商场,"116.410557,39.909902",王府井大街301号(王府井地铁站E1口步行70米),
首开通州万象汇,商场,"116.734377,39.904541",运河东大街51号(东夏园地铁站B东北口旁),
花乡奥莱村,商场,"116.324004,39.827593",白盆窑南四环西路76号,
北京燕莎奥特莱斯购物中心,商场,"116.487321,39.877498",东四环南路9号,
八达岭奥莱,商场,"116.169923,40.234519",陈庄村G6京藏高速s216号,
海淀大悦城,商场,"116.229357,40.091299",大牛房二巷,
北京清河万象汇,商场,"116.334435,40.030181",清河中街68号,
悠唐购物中心,商场,"116.438951,39.921623",三丰路2号悠唐购物中心二层倍轻松,
北京市百货大楼,商场,"116.410131,39.913779",王府井大街253号,
龙湖北京长楹天街,商场,"116.599674,39.925037",常通路1号院,
银座和谐广场,商场,"116.297342,39.882318",万丰路68号院,
百荣世贸商城,商场,"116.398399,39.860897",永定门外大街101号,
龙湖北京亦庄天街,商场,"116.492452,39.753035",博兴八路与兴海路交叉口,
颐堤港,商场,"116.491317,39.969735",酒仙桥路18号,
龙湖北京丽泽天街,商场,"116.334236,39.866709",丽泽路300号,
北京东方新天地,商场,"116.414498,39.909473",东长安街1号,
三里屯太古里南区,商场,"116.454344,39.934882",三里屯路19号院地下一层,
北京五棵松万达广场,商场,"116.277550,39.913240",复兴路69号,
龙德广场,商场,"116.415538,40.059723",立汤路186号,
新中关购物中心,商场,"116.315277,39.978335",中关村大街19号,
凯德MALL·太阳宫店,商场,"116.447513,39.971325",太阳宫中路12号,
万达广场(北京槐房店),商场,"116.367868,39.814085",槐房南路6号,
西北旺万象汇,商场,"116.259961,40.049040",德政路16号院(西北旺地铁站出入口步行110米),
西三旗万象汇,商场,"116.366266,40.061826",建材城东路33号,
龙湖北京大兴天街,商场,"116.320202,39.686812",永兴路7号院1号楼(生物医药基地地铁站A西北口旁),
凯德MALL(望京店),商场,"116.468485,39.992945",广顺北大街33号,
枫蓝国际购物中心,商场,"116.356605,39.952958",西直门北大街32号院,
喜隆多XIRONDO PLAZA,商场,"116.171766,39.922994",金顶街街道阜石路300号,
THE NEW西单更新场,商场,"116.375344,39.908269",西单北大街180号(西单地铁站B北口步行120米),
王府井奥莱·香江小镇,商场,"116.505252,40.035509",香江北路28号,
北京西铁营万达广场,商场,"116.355851,39.860936",西铁营中路1号(西铁营地铁站C口旁),
万达广场(北京丰科店),商场,"116.298932,39.824233",丰科路6号(丰台科技园地铁站C口),
惠多港购物中心,商场,"116.550713,39.850318",黄厂路(恒大御景湾西南侧约50米),
北京房山熙悦天街,商场,"116.185436,39.733691",长阳镇长于大街28号院,
来福士,商场,"116.432499,39.940133",东直门南大街1-1,
五道口购物中心,商场,"116.339075,39.992065",成府路28号,
爱琴海购物公园,商场,"116.658573,39.908913",新华东街289号,
京西大悦城,商场,"116.183412,39.925501",阜石路173号院1号楼(苹果园地铁站J口步行100米),
北投购物公园,商场,"116.401772,39.978941",安定路5号院(安贞门地铁站A口直通商场),
北京王府井银泰in88购物中心,商场,"116.411812,39.916164",王府井大街88号,
北京华联BHG Mall(万柳店),商场,"116.295230,39.973062",巴沟路2号(巴沟地铁站出入口旁),
凯德MALL·大峡谷,商场,"116.366821,39.854569",南三环西路16号,
国贸商城,商场,"116.459288,39.910882",建国门外大街1号(国贸地铁站出入口旁),
印象城(翠微店),商场,"116.303401,39.912477",翠微路12号,
万达广场(北京石景山店),商场,"116.225303,39.906431",石景山路乙18号,
北京密云万象汇,商场,"116.835408,40.355646",滨河路178号,
北京富力广场,商场,"116.460622,39.895453",东三环中路65号,
汉光百货,商场,"116.375191,39.909408",西单北大街176号华南大厦,
斯普瑞斯,商场,"116.596194,40.011221",金盏乡森林公园东1号,
新辰里购物中心(亚运村店),商场,"116.406526,39.991509",北辰东路25号楼3楼,
金融街购物中心,商场,"116.361563,39.915619",金城坊街2号,
西红门新光界,商场,"116.326354,39.784598",欣雅街16号,
北京望京万象汇,商场,"116.468872,40.010779",望京东湖街道广顺北大街16号,
龙湖北京房山天街,商场,"116.140617,39.745530",政通南路2号院1号楼,
北京安贞环宇荟,商场,"116.406491,39.977772",安定路5号院(安贞门地铁站B东北口旁),
BHGMall(顺义金街店),商场,"116.652492,40.128171",新顺南大街8号,
芳圆里ID MALL,商场,"116.488051,39.890047",东四环中路189号(近广渠路),
国瑞购物中心,商场,"116.419844,39.898280",崇文门外大街18号,
凯德MALL·大兴,商场,"116.318949,39.672324",华佗路与新源大街交汇处西100米,
新辰里(学清路店),商场,"116.353917,40.008612",学清路甲8号,
华威大厦,商场,"116.374566,39.911478",西单北大街130号(西单地铁站B北口步行480米),
悦荟,商场,"116.239161,40.212115",南环路10号,
新世界百货崇文门店,商场,"116.417614,39.897452",崇文门东兴隆街11号(崇文门地铁站H西南口步行140米),
北京君太百货,商场,"116.373079,39.909591",西单北大街133号,
西单明珠商场,商场,"116.375909,39.910393",西长安街街道西单广场横二条59号,
北京银泰中心in01,商场,"116.459268,39.907356",建国门外大街2号(近国贸地铁站C口),
北京中关村领展广场,商场,"116.314310,39.979351",丹棱街甲1号,
龙湖北京北苑天街,商场,"116.438524,40.042793",北苑东路19号院(北苑地铁站B口步行320米),
凤凰汇购物中心,商场,"116.456963,39.962918",曙光西里甲5号院24号楼,
华堂·新辰汇,商场,"116.420775,39.987979",北四环东路108号华堂商场B1层,
世贸天阶,商场,"116.452017,39.916492",光华路甲9号,
万达广场(北京双桥店),商场,"116.575660,39.908396",三间房双桥路3号(双桥地铁站A西口步行280米),
丽泽天地,商场,"116.305523,39.867664",丰台北路17号院1号楼,
北京侨福芳草地购物中心,商场,"116.448834,39.919577",东大桥路9号,
中粮·祥云小镇,商场,"116.537301,40.088227",后沙峪镇安泰大街9号,
龙湖北京颐和星悦荟,商场,"116.290467,39.997818",颐和园路208号(西苑地铁站C2西南口步行50米),
王府中环,商场,"116.409348,39.912576",王府井大街269号,
DT51,商场,"116.419469,39.999551",北苑路98号院1号楼,
银泰百货(北京大红门店),商场,"116.385515,39.844482",马家堡东路101号院10号楼,
朝外SOHO,商场,"116.454674,39.920065",朝阳门外大街乙26号朝外MEN A座,
万达广场(北京怀柔店),商场,"116.629818,40.316679",府前西街1号,
华宇时尚购物中心,商场,"116.323417,39.965368",中关村南大街2号数码大厦B座,
北京木樨园合生广场,商场,"116.397728,39.855749",永外果园8号(木樨园地铁站C西南口步行350米),
万达广场(北京平谷店),商场,"117.120575,40.159733",平谷大街37号,
合生麒麟新天地,商场,"116.477742,39.997101",望京东湖街道阜安西路11号,
华贸购物中心,商场,"116.480849,39.909097",建国路79号(大望路地铁站出入口步行70米),
乐成中心SPACE3,商场,"116.462516,39.894417",东三环中路22号,
凯德晶品购物中心,商场,"116.297414,39.908419",复兴路51号(万寿路地铁站B1东北口步行80米),
BHGMall上地店,商场,"116.311268,40.028656",农大南路1号院1号楼华联商厦B1层,
龙玥城,商场,"116.532941,39.801638",北京经济技术开发区科创五街38号,
双安商场,商场,"116.325813,39.966354",北三环西路38号,
新世界百货(望京店),商场,"116.480327,39.986766",望京花家地街道广顺南大街16号,
瀛海环宇坊,商场,"116.448613,39.758038",瀛永街(瀛海地铁站C西南口步行180米),
永旺梦乐城(丰台店),商场,"116.292070,39.817953",丰葆路88号院1号楼,
三旗百汇购物中心,商场,"116.343394,40.062531",回龙观三旗百汇4号厅北T12(北2门),
光耀东方广场,商场,"116.322074,39.899271",羊坊店路18号(北京西站地铁站北出口步行480米),
林奥CITY PARK购物中心,商场,"116.409356,40.034013",清林东路4号院6号楼东侧,
